id_utilisateur,id_utilisateur,id_utilisateur,question,reponse,image,interval,ease,next_review
140,34,1,(a + b)<sup>3</sup>,,Maths/Aconnaitre/formule_cube.png,0,2.5,0
771,74,1,(a + b)<sup>3</sup>,,Maths/Aconnaitre/formule_cube.png,0,2.5,0
6,30,1,1 propriété de la covariance,,Maths/prop_covariance.png,0,2.5,0
637,70,1,1 propriété de la covariance,,Maths/prop_covariance.png,0,2.5,0
224,27,1,1ere propriétée des forme n-linéaire alternée,"Si f est une forme n−linéaire alternée sur E et (x1, . . . , xn) une famille de vecteurs de E liée alors f (x1, . . . , xn) = 0.",,0,2.5,0
855,67,1,1ere propriétée des forme n-linéaire alternée,"Si f est une forme n−linéaire alternée sur E et (x1, . . . , xn) une famille de vecteurs de E liée alors f (x1, . . . , xn) = 0.",,0,2.5,0
121,28,1,1ère formule de Bayes,,Maths/Dénombrement et probabilités finies/bayes1.png,0,2.5,0
752,68,1,1ère formule de Bayes,,Maths/Dénombrement et probabilités finies/bayes1.png,0,2.5,0
62,18,1,2 caractérisations d'une famille/partie liée,,Maths/Espaces vectoriels/cara_famille_liee.png,0,2.5,0
693,58,1,2 caractérisations d'une famille/partie liée,,Maths/Espaces vectoriels/cara_famille_liee.png,0,2.5,0
80,19,1,2 caractérisations des bases en dim finie,,Maths/Espaces vectoriels de dimension finie/cara_base.png,0,2.5,0
711,59,1,2 caractérisations des bases en dim finie,,Maths/Espaces vectoriels de dimension finie/cara_base.png,0,2.5,0
79,19,1,2 caractérisations des sous-espaces supplémentaires,,Maths/Espaces vectoriels de dimension finie/cara_supp.png,0,2.5,0
710,59,1,2 caractérisations des sous-espaces supplémentaires,,Maths/Espaces vectoriels de dimension finie/cara_supp.png,0,2.5,0
60,18,1,2 caractérisationsS de sous-espaces supplémentaires,,Maths/Espaces vectoriels/cara_supp.png,0,2.5,0
691,58,1,2 caractérisationsS de sous-espaces supplémentaires,,Maths/Espaces vectoriels/cara_supp.png,0,2.5,0
518,21,1,2 conditions suffisantes de finitude du rang,"1. Si u : E → F est linéaire et E de dimension finie alors u est de rang fini avec rg(u) ≤ dim E.
2. Si u : E → F est linéaire et F de dimension finie alors u est de rang fini avec rg(u) ≤ dim F .",,0,2.5,0
1149,61,1,2 conditions suffisantes de finitude du rang,"1. Si u : E → F est linéaire et E de dimension finie alors u est de rang fini avec rg(u) ≤ dim E.
2. Si u : E → F est linéaire et F de dimension finie alors u est de rang fini avec rg(u) ≤ dim F .",,0,2.5,0
214,29,1,2 existences de bases orthonormales,"1. Tout espace euclidien de dimension non nulle admet au moins une base orthonormale.
2. Toute famille orthonormale d’un espace euclidien peut être complétée en une base orthonormale.",,0,2.5,0
845,69,1,2 existences de bases orthonormales,"1. Tout espace euclidien de dimension non nulle admet au moins une base orthonormale.
2. Toute famille orthonormale d’un espace euclidien peut être complétée en une base orthonormale.",,0,2.5,0
85,29,1,2 façons de déterminer un projeté orthogonal d'un vecteur,,Maths/Espaces préhilbertiens réels/proj.png,0,2.5,0
716,69,1,2 façons de déterminer un projeté orthogonal d'un vecteur,,Maths/Espaces préhilbertiens réels/proj.png,0,2.5,0
206,29,1,2 identités remarquables associées à la norme,"1. ∀(x, y) ∈ E², ∥x + y∥² = ∥x∥² + ∥y∥²  + 2 < x|y > ;
2. ∀(x, y) ∈ E², < x|y > = 1/2(∥x + y∥² − ∥x∥² − ∥y∥²) . (formule de polarisation)",,0,2.5,0
837,69,1,2 identités remarquables associées à la norme,"1. ∀(x, y) ∈ E², ∥x + y∥² = ∥x∥² + ∥y∥²  + 2 < x|y > ;
2. ∀(x, y) ∈ E², < x|y > = 1/2(∥x + y∥² − ∥x∥² − ∥y∥²) . (formule de polarisation)",,0,2.5,0
255,2,1,2 inéquations élémentaires de la valeur absolue d'un réel,,Maths/Inégalités_et_fonctions/1785250459.png,0,2.5,0
886,42,1,2 inéquations élémentaires de la valeur absolue d'un réel,,Maths/Inégalités_et_fonctions/1785250459.png,0,2.5,0
9,30,1,2 lois marginales,,Maths/loi_marginales.png,0,2.5,0
640,70,1,2 lois marginales,,Maths/loi_marginales.png,0,2.5,0
69,19,1,2 propriétes de la dimension d'un sev,,Maths/Espaces vectoriels de dimension finie/prop_sev.png,0,2.5,0
700,59,1,2 propriétes de la dimension d'un sev,,Maths/Espaces vectoriels de dimension finie/prop_sev.png,0,2.5,0
47,18,1,2 propriétés d'une famille/partie libre,,Maths/Espaces vectoriels/prop_famille_libre.png,0,2.5,0
678,58,1,2 propriétés d'une famille/partie libre,,Maths/Espaces vectoriels/prop_famille_libre.png,0,2.5,0
382,10,1,2 propriétés d'une suite convergente/divergente,"1. Toute suite réelle convergente est bornée.
2. Toute suite réelle non bornée est divergente.",,0,2.5,0
1013,50,1,2 propriétés d'une suite convergente/divergente,"1. Toute suite réelle convergente est bornée.
2. Toute suite réelle non bornée est divergente.",,0,2.5,0
4,30,1,2 propriétés de la variance,,Maths/prop_variance.png,0,2.5,0
635,70,1,2 propriétés de la variance,,Maths/prop_variance.png,0,2.5,0
